Year,GeoTypeName,Borough,Geography,Geography ID,Indicator Name,Number,Percent,Notes Number,Notes Percent
2011-15,Borough,Staten Island, Staten Island,5,Poverty,"58,470",12.5,,
2012-16,Borough,Staten Island, Staten Island,5,Poverty,"60,530",12.9,,
2013-17,Borough,Staten Island, Staten Island,5,Poverty,"60,735",12.9,,
2009-13,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Poverty,"7,630",8.5,,
2010-14,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Poverty,"7,353",8.2,,
2011-15,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Poverty,"7,543",8.4,,
2012-16,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Poverty,"7,010",7.8,,
2013-17,Neighborhood (UHF 42),Queens, Bayside - Little Neck,404,Poverty,"7,753",8.6,,
2009-13,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Poverty,"87,731",27.6,,
2010-14,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Poverty,"87,679",27.2,,
2011-15,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Poverty,"89,354",27.3,,
2012-16,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Poverty,"87,306",26.4,,
2013-17,Neighborhood (UHF 42),Brooklyn, Bedford Stuyvesant - Crown Heights,203,Poverty,"86,365",25.9,,
2009-13,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Poverty,"29,908",15,,
2010-14,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Poverty,"33,060",16,,
2011-15,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Poverty,"33,668",16.1,,
2012-16,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Poverty,"31,647",15.4,,
2013-17,Neighborhood (UHF 42),Brooklyn, Bensonhurst - Bay Ridge,209,Poverty,"30,716",14.9,,
2009-13,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Poverty,"86,311",25.7,,
2010-14,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Poverty,"91,508",26.9,,
2011-15,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Poverty,"92,821",27.2,,
2012-16,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Poverty,"92,085",27.3,,
2013-17,Neighborhood (UHF 42),Brooklyn, Borough Park,206,Poverty,"90,719",26.7,,
2009-13,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Poverty,"25,749",12.7,,
2010-14,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Poverty,"27,217",13.3,,
2011-15,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Poverty,"27,775",13.5,,
2012-16,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Poverty,"26,268",12.7,,
2013-17,Neighborhood (UHF 42),Brooklyn, Canarsie - Flatlands,208,Poverty,"25,642",12.2,,
2009-13,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Poverty,"47,166",28.4,,
2010-14,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Poverty,"49,942",29.8,,
2011-15,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Poverty,"51,123",30,,
2012-16,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Poverty,"51,919",29.9,,
2013-17,Neighborhood (UHF 42),Manhattan, Central Harlem - Morningside Heights,302,Poverty,"50,316",28.5,,
2009-13,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Poverty,"16,914",12.1,,
2010-14,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Poverty,"17,361",12.1,,
2011-15,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Poverty,"18,320",12.4,,
2012-16,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Poverty,"18,111",12.3,,
2013-17,Neighborhood (UHF 42),Manhattan, Chelsea - Clinton,306,Poverty,"19,807",13.2,,
2009-13,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Poverty,"52,212",19.2,,
2010-14,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Poverty,"56,199",20.4,,
2011-15,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Poverty,"56,608",20.2,,
2012-16,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Poverty,"56,718",20.1,,
2013-17,Neighborhood (UHF 42),Brooklyn, Coney Island - Sheepshead Bay,210,Poverty,"56,078",19.3,,
2009-13,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Poverty,"82,665",40.8,,
2010-14,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Poverty,"84,329",41,,
2011-15,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Poverty,"87,376",41.6,,
2012-16,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Poverty,"87,581",41.4,,
2013-17,Neighborhood (UHF 42),Bronx, Crotona -Tremont,105,Poverty,"84,689",39.3,,
2009-13,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Poverty,"39,556",16.9,,
2010-14,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Poverty,"38,815",16.4,,
2011-15,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Poverty,"38,997",16.2,,
2012-16,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Poverty,"38,733",15.9,,
2013-17,Neighborhood (UHF 42),Brooklyn, Downtown - Heights - Slope,202,Poverty,"37,440",15,,
2009-13,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Poverty,"55,807",18.6,,
2010-14,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Poverty,"55,829",18.6,,
2011-15,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Poverty,"54,564",18.1,,
2012-16,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Poverty,"54,119",17.8,,
2013-17,Neighborhood (UHF 42),Brooklyn, East Flatbush - Flatbush,207,Poverty,"51,903",17,,
2009-13,Neighborhood (UHF 42),Manhattan, East Harlem,303,Poverty,"34,548",32,,
2010-14,Neighborhood (UHF 42),Manhattan, East Harlem,303,Poverty,"35,961",32.9,,
2011-15,Neighborhood (UHF 42),Manhattan, East Harlem,303,Poverty,"36,518",33.3,,
2012-16,Neighborhood (UHF 42),Manhattan, East Harlem,303,Poverty,"37,230",33.8,,
2013-17,Neighborhood (UHF 42),Manhattan, East Harlem,303,Poverty,"38,624",34.3,,
2009-13,Neighborhood (UHF 42),Brooklyn, East New York,204,Poverty,"61,136",33.2,,
2010-14,Neighborhood (UHF 42),Brooklyn, East New York,204,Poverty,"61,579",33.4,,
2011-15,Neighborhood (UHF 42),Brooklyn, East New York,204,Poverty,"58,202",31.1,,
2012-16,Neighborhood (UHF 42),Brooklyn, East New York,204,Poverty,"56,000",29.8,,
2013-17,Neighborhood (UHF 42),Brooklyn, East New York,204,Poverty,"54,363",28.6,,
2009-13,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Poverty,"36,731",14.2,,
2010-14,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Poverty,"39,272",15.2,,
2011-15,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Poverty,"39,671",15.4,,
2012-16,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Poverty,"41,130",15.9,,
2013-17,Neighborhood (UHF 42),Queens, Flushing - Clearview,403,Poverty,"41,147",15.9,,
2009-13,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Poverty,"76,284",31.8,,
2010-14,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Poverty,"79,822",32.9,,
2011-15,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Poverty,"82,470",33.1,,
2012-16,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Poverty,"83,367",32.7,,
2013-17,Neighborhood (UHF 42),Bronx, Fordham - Bronx Pk,103,Poverty,"84,650",32.6,,
2009-13,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Poverty,"14,398",15.1,,
2010-14,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Poverty,"14,433",14.9,,
2011-15,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Poverty,"13,688",13.8,,
2012-16,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Poverty,"13,598",13.6,,
2013-17,Neighborhood (UHF 42),Queens, Fresh Meadows,406,Poverty,"13,572",13.3,,
2009-13,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Poverty,"11,418",9.2,,
2010-14,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Poverty,"11,754",9.6,,
2011-15,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Poverty,"11,899",9.5,,
2012-16,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Poverty,"11,131",8.9,,
2013-17,Neighborhood (UHF 42),Manhattan, Gramercy Park - Murray Hill,307,Poverty,"11,213",8.8,,
2009-13,Neighborhood (UHF 42),Brooklyn, Greenpoint,201,Poverty,"35,607",28,,
2010-14,Neighborhood (UHF 42),Brooklyn, Greenpoint,201,Poverty,"34,141",26.5,,
2011-15,Neighborhood (UHF 42),Brooklyn, Greenpoint,201,Poverty,"34,188",25.8,,
2012-16,Neighborhood (UHF 42),Brooklyn, Greenpoint,201,Poverty,"33,192",24.6,,
2013-17,Neighborhood (UHF 42),Brooklyn, Greenpoint,201,Poverty,"31,423",22.8,,
2009-13,Neighborhood (UHF 42),Manhattan, Greenwich Village - SoHo,308,Poverty,"7,764",9.8,,
2010-14,Neighborhood (UHF 42),Manhattan, Greenwich Village - SoHo,308,Poverty,"7,910",9.9,,
2011-15,Neighborhood (UHF 42),Manhattan, Greenwich Village - SoHo,308,Poverty,"7,315",9.3,,
2012-16,Neighborhood (UHF 42),Manhattan, Greenwich Village - SoHo,308,Poverty,"7,100",8.8,,
2013-17,Neighborhood (UHF 42),Manhattan, Greenwich Village - SoHo,308,Poverty,"8,043",9.7,,
2009-13,Neighborhood (UHF 42),Bronx, High Bridge - Morrisania,106,Poverty,"79,874",38.5,,
2010-14,Neighborhood (UHF 42),Bronx, High Bridge - Morrisania,106,Poverty,"84,219",39.7,,
2011-15,Neighborhood (UHF 42),Bronx, High Bridge - Morrisania,106,Poverty,"85,490",40.2,,
2012-16,Neighborhood (UHF 42),Bronx, High Bridge - Morrisania,106,Poverty,"83,918",39.3,,
2013-17,Neighborhood (UHF 42),Bronx, High Bridge - Morrisania,106,Poverty,"84,430",38.7,,
2009-13,Neighborhood (UHF 42),Bronx, Hunts Point - Mott Haven,107,Poverty,"56,177",41.7,,
2010-14,Neighborhood (UHF 42),Bronx, Hunts Point - Mott Haven,107,Poverty,"59,012",43,,
2011-15,Neighborhood (UHF 42),Bronx, Hunts Point - Mott Haven,107,Poverty,"59,924",43.1,,
2012-16,Neighborhood (UHF 42),Bronx, Hunts Point - Mott Haven,107,Poverty,"59,251",42.2,,
2013-17,Neighborhood (UHF 42),Bronx, Hunts Point - Mott Haven,107,Poverty,"58,154",41.4,,
2009-13,Neighborhood (UHF 42),Queens, Jamaica,408,Poverty,"46,624",16.1,,
2010-14,Neighborhood (UHF 42),Queens, Jamaica,408,Poverty,"48,131",16,,
2011-15,Neighborhood (UHF 42),Queens, Jamaica,408,Poverty,"46,735",15.5,,
2012-16,Neighborhood (UHF 42),Queens, Jamaica,408,Poverty,"45,282",14.8,,
2013-17,Neighborhood (UHF 42),Queens, Jamaica,408,Poverty,"42,024",13.5,,
2009-13,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Poverty,"13,604",15.6,,
2010-14,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Poverty,"14,110",16.1,,
2011-15,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Poverty,"14,059",15.9,,
2012-16,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Poverty,"14,265",16.3,,
2013-17,Neighborhood (UHF 42),Bronx, Kingsbridge - Riverdale,101,Poverty,"13,553",15.2,,
2009-13,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Poverty,"32,827",16.5,,
2010-14,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Poverty,"34,042",16.7,,
2011-15,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Poverty,"34,694",16.8,,
2012-16,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Poverty,"31,974",15.5,,
2013-17,Neighborhood (UHF 42),Queens, Long Island City - Astoria,401,Poverty,"30,384",14.6,,
2009-13,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Poverty,"5,609",10.9,,
2010-14,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Poverty,"6,001",11.2,,
2011-15,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Poverty,"5,944",10.7,,
2012-16,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Poverty,"6,218",10.8,,
2013-17,Neighborhood (UHF 42),Manhattan, Lower Manhattan,310,Poverty,"5,866",10.1,,
2009-13,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Poverty,"30,221",15.4,,
2010-14,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Poverty,"30,249",15.4,,
2011-15,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Poverty,"30,305",15.3,,
2012-16,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Poverty,"30,701",15.5,,
2013-17,Neighborhood (UHF 42),Bronx, Northeast Bronx,102,Poverty,"29,802",14.9,,
2009-13,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Poverty,"69,708",23.1,,
2010-14,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Poverty,"70,738",23.2,,
2011-15,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Poverty,"70,757",23.2,,
2012-16,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Poverty,"71,485",23.5,,
2013-17,Neighborhood (UHF 42),Bronx, Pelham - Throgs Neck,104,Poverty,"69,887",22.8,,
2009-13,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Poverty,"15,111",22.8,,
2010-14,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Poverty,"15,736",23.5,,
2011-15,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Poverty,"15,104",22.7,,
2012-16,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Poverty,"14,591",22,,
2013-17,Neighborhood (UHF 42),Staten Island, Port Richmond,501,Poverty,"15,022",22.1,,
2009-13,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Poverty,"31,732",12.9,,
2010-14,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Poverty,"32,243",13.1,,
2011-15,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Poverty,"31,807",12.7,,
2012-16,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Poverty,"31,191",12.3,,
2013-17,Neighborhood (UHF 42),Queens, Ridgewood - Forest Hills,405,Poverty,"29,049",11.2,,
2009-13,Neighborhood (UHF 42),Queens, Rockaways,410,Poverty,"23,361",20.9,,
2010-14,Neighborhood (UHF 42),Queens, Rockaways,410,Poverty,"22,872",20.2,,
2011-15,Neighborhood (UHF 42),Queens, Rockaways,410,Poverty,"21,801",19,,
2012-16,Neighborhood (UHF 42),Queens, Rockaways,410,Poverty,"22,440",19.2,,
2013-17,Neighborhood (UHF 42),Queens, Rockaways,410,Poverty,"23,109",19.5,,
2009-13,Neighborhood (UHF 42),Staten Island, South Beach - Tottenville,504,Poverty,"11,993",6.3,,
2010-14,Neighborhood (UHF 42),Staten Island, South Beach - Tottenville,504,Poverty,"14,267",7.4,,
2011-15,Neighborhood (UHF 42),Staten Island, South Beach - Tottenville,504,Poverty,"14,690",7.6,,
2012-16,Neighborhood (UHF 42),Staten Island, South Beach - Tottenville,504,Poverty,"15,008",7.7,,
2013-17,Neighborhood (UHF 42),Staten Island, South Beach - Tottenville,504,Poverty,"14,801",7.7,,
2009-13,Neighborhood (UHF 42),Queens, Southeast Queens,409,Poverty,"18,847",7,,
2010-14,Neighborhood (UHF 42),Queens, Southeast Queens,409,Poverty,"20,134",7.6,,
2011-15,Neighborhood (UHF 42),Queens, Southeast Queens,409,Poverty,"19,339",7.2,,
2012-16,Neighborhood (UHF 42),Queens, Southeast Queens,409,Poverty,"18,949",7.1,,
2013-17,Neighborhood (UHF 42),Queens, Southeast Queens,409,Poverty,"18,547",6.8,,
2009-13,Neighborhood (UHF 42),Queens, Southwest Queens,407,Poverty,"36,826",13.1,,
2010-14,Neighborhood (UHF 42),Queens, Southwest Queens,407,Poverty,"40,414",14.3,,
2011-15,Neighborhood (UHF 42),Queens, Southwest Queens,407,Poverty,"42,204",14.6,,
2012-16,Neighborhood (UHF 42),Queens, Southwest Queens,407,Poverty,"41,930",14.4,,
2013-17,Neighborhood (UHF 42),Queens, Southwest Queens,407,Poverty,"39,546",13.5,,
2009-13,Neighborhood (UHF 42),Staten Island, Stapleton - St. George,502,Poverty,"20,398",17,,
2010-14,Neighborhood (UHF 42),Staten Island, Stapleton - St. George,502,Poverty,"20,584",17.3,,
2011-15,Neighborhood (UHF 42),Staten Island, Stapleton - St. George,502,Poverty,"21,193",17.7,,
2012-16,Neighborhood (UHF 42),Staten Island, Stapleton - St. George,502,Poverty,"22,706",19,,
2013-17,Neighborhood (UHF 42),Staten Island, Stapleton - St. George,502,Poverty,"22,406",18.7,,
2009-13,Neighborhood (UHF 42),Brooklyn, Sunset Park,205,Poverty,"38,987",30.3,,
2010-14,Neighborhood (UHF 42),Brooklyn, Sunset Park,205,Poverty,"39,927",31.1,,
2011-15,Neighborhood (UHF 42),Brooklyn, Sunset Park,205,Poverty,"41,214",32,,
2012-16,Neighborhood (UHF 42),Brooklyn, Sunset Park,205,Poverty,"41,333",32.4,,
2013-17,Neighborhood (UHF 42),Brooklyn, Sunset Park,205,Poverty,"37,927",30,,
2009-13,Neighborhood (UHF 42),Manhattan, Union Square - Lower East Side,309,Poverty,"41,829",21.7,,
2010-14,Neighborhood (UHF 42),Manhattan, Union Square - Lower East Side,309,Poverty,"39,567",20.9,,
2011-15,Neighborhood (UHF 42),Manhattan, Union Square - Lower East Side,309,Poverty,"42,963",22.8,,
2012-16,Neighborhood (UHF 42),Manhattan, Union Square - Lower East Side,309,Poverty,"39,683",21.6,,
2013-17,Neighborhood (UHF 42),Manhattan, Union Square - Lower East Side,309,Poverty,"39,009",21.4,,
2009-13,Neighborhood (UHF 42),Manhattan, Upper East Side,305,Poverty,"14,516",6.8,,
2010-14,Neighborhood (UHF 42),Manhattan, Upper East Side,305,Poverty,"15,708",7.2,,
2011-15,Neighborhood (UHF 42),Manhattan, Upper East Side,305,Poverty,"14,449",6.6,,
2012-16,Neighborhood (UHF 42),Manhattan, Upper East Side,305,Poverty,"14,667",6.7,,
2013-17,Neighborhood (UHF 42),Manhattan, Upper East Side,305,Poverty,"13,689",6.2,,
2009-13,Neighborhood (UHF 42),Manhattan, Upper West Side,304,Poverty,"25,503",11.8,,
2010-14,Neighborhood (UHF 42),Manhattan, Upper West Side,304,Poverty,"25,121",11.6,,
2011-15,Neighborhood (UHF 42),Manhattan, Upper West Side,304,Poverty,"24,355",11.4,,
2012-16,Neighborhood (UHF 42),Manhattan, Upper West Side,304,Poverty,"23,848",11.2,,
2013-17,Neighborhood (UHF 42),Manhattan, Upper West Side,304,Poverty,"23,933",11.2,,
2009-13,Neighborhood (UHF 42),Manhattan, Washington Heights,301,Poverty,"67,762",26.1,,
2010-14,Neighborhood (UHF 42),Manhattan, Washington Heights,301,Poverty,"66,700",25.4,,
2011-15,Neighborhood (UHF 42),Manhattan, Washington Heights,301,Poverty,"67,893",25.6,,
2012-16,Neighborhood (UHF 42),Manhattan, Washington Heights,301,Poverty,"67,084",25,,
2013-17,Neighborhood (UHF 42),Manhattan, Washington Heights,301,Poverty,"64,013",23.5,,
2009-13,Neighborhood (UHF 42),Queens, West Queens,402,Poverty,"86,931",19.1,,
2010-14,Neighborhood (UHF 42),Queens, West Queens,402,Poverty,"88,185",19.2,,
2011-15,Neighborhood (UHF 42),Queens, West Queens,402,Poverty,"88,169",19.1,,
2012-16,Neighborhood (UHF 42),Queens, West Queens,402,Poverty,"82,514",18,,
2013-17,Neighborhood (UHF 42),Queens, West Queens,402,Poverty,"74,078",16.1,,
2009-13,Neighborhood (UHF 42),Brooklyn, Williamsburg - Bushwick,211,Poverty,"70,374",32.4,,
2010-14,Neighborhood (UHF 42),Brooklyn, Williamsburg - Bushwick,211,Poverty,"69,577",31.5,,
2011-15,Neighborhood (UHF 42),Brooklyn, Williamsburg - Bushwick,211,Poverty,"70,013",31.7,,
2012-16,Neighborhood (UHF 42),Brooklyn, Williamsburg - Bushwick,211,Poverty,"70,117",31.5,,
2013-17,Neighborhood (UHF 42),Brooklyn, Williamsburg - Bushwick,211,Poverty,"68,155",30.5,,
2009-13,Neighborhood (UHF 42),Staten Island, Willowbrook,503,Poverty,"7,454",8.7,,
2010-14,Neighborhood (UHF 42),Staten Island, Willowbrook,503,Poverty,"6,818",7.9,,
2011-15,Neighborhood (UHF 42),Staten Island, Willowbrook,503,Poverty,"7,483",8.6,,
2012-16,Neighborhood (UHF 42),Staten Island, Willowbrook,503,Poverty,"8,225",9.4,,
2013-17,Neighborhood (UHF 42),Staten Island, Willowbrook,503,Poverty,"8,506",9.6,,
2009-13,Neighborhood (subborough/PUMA),Queens, Astoria,39,Poverty,"30,465",18,,
2010-14,Neighborhood (subborough/PUMA),Queens, Astoria,39,Poverty,"30,691",17.8,,
2011-15,Neighborhood (subborough/PUMA),Queens, Astoria,39,Poverty,"30,673",17.7,,
2012-16,Neighborhood (subborough/PUMA),Queens, Astoria,39,Poverty,"28,343",16.5,,
2013-17,Neighborhood (subborough/PUMA),Queens, Astoria,39,Poverty,"27,006",15.6,,
2009-13,Neighborhood (subborough/PUMA),Brooklyn, Bay Ridge,20,Poverty,"20,536",15.8,,
2010-14,Neighborhood (subborough/PUMA),Brooklyn, Bay Ridge,20,Poverty,"21,795",16.7,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, Bay Ridge,20,Poverty,"20,998",16.2,,
2012-16,Neighborhood (subborough/PUMA),Brooklyn, Bay Ridge,20,Poverty,"20,271",16.3,,
2013-17,Neighborhood (subborough/PUMA),Brooklyn, Bay Ridge,20,Poverty,"19,761",15.9,,
2009-13,Neighborhood (subborough/PUMA),Queens, Bayside/Little Neck,49,Poverty,"9,608",8,,
2010-14,Neighborhood (subborough/PUMA),Queens, Bayside/Little Neck,49,Poverty,"9,567",7.9,,
2011-15,Neighborhood (subborough/PUMA),Queens, Bayside/Little Neck,49,Poverty,"9,629",8,,
2012-16,Neighborhood (subborough/PUMA),Queens, Bayside/Little Neck,49,Poverty,"8,998",7.5,,
2013-17,Neighborhood (subborough/PUMA),Queens, Bayside/Little Neck,49,Poverty,"9,814",8.2,,
2009-13,Neighborhood (subborough/PUMA),Brooklyn, Bedford Stuyvesant,13,Poverty,"43,803",32.5,,
2010-14,Neighborhood (subborough/PUMA),Brooklyn, Bedford Stuyvesant,13,Poverty,"43,387",31.7,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, Bedford Stuyvesant,13,Poverty,"44,892",32.4,,
2012-16,Neighborhood (subborough/PUMA),Brooklyn, Bedford Stuyvesant,13,Poverty,"44,896",31.7,,
2013-17,Neighborhood (subborough/PUMA),Brooklyn, Bedford Stuyvesant,13,Poverty,"44,037",30.5,,
2009-13,Neighborhood (subborough/PUMA),Queens, Bellerose/Rosedale,51,Poverty,"16,617",8.3,,
2010-14,Neighborhood (subborough/PUMA),Queens, Bellerose/Rosedale,51,Poverty,"17,686",8.9,,
2011-15,Neighborhood (subborough/PUMA),Queens, Bellerose/Rosedale,51,Poverty,"17,410",8.8,,
2012-16,Neighborhood (subborough/PUMA),Queens, Bellerose/Rosedale,51,Poverty,"17,353",8.8,,
2013-17,Neighborhood (subborough/PUMA),Queens, Bellerose/Rosedale,51,Poverty,"16,423",8.1,,
2009-13,Neighborhood (subborough/PUMA),Brooklyn, Bensonhurst,21,Poverty,"29,988",16.9,,
2010-14,Neighborhood (subborough/PUMA),Brooklyn, Bensonhurst,21,Poverty,"32,160",17.5,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, Bensonhurst,21,Poverty,"34,697",18.4,,
2012-16,Neighborhood (subborough/PUMA),Brooklyn, Bensonhurst,21,Poverty,"33,809",17.9,,
2013-17,Neighborhood (subborough/PUMA),Brooklyn, Bensonhurst,21,Poverty,"33,230",17.4,,
2009-13,Neighborhood (subborough/PUMA),Brooklyn, Borough Park,22,Poverty,"50,999",31.4,,
2010-14,Neighborhood (subborough/PUMA),Brooklyn, Borough Park,22,Poverty,"53,976",32.5,,
2011-15,Neighborhood (subborough/PUMA),Brooklyn, Borough Park,22,Poverty,"53,548",32.5,,
2012-16,Neighborhood (subborough/PUMA),Brooklyn, Borough Park,22,Poverty,"53,656",32.7,,
2013-17,Neighborhood (subborough/PUMA),Brooklyn, Borough Park,22,Poverty,"52,389",32,,
